Glass Name,Elastic Modulus,Poisson's Ratio,Shear Modulus,Thermal Expansion Coefficient,Density (kg/m³),Thermal Conductivity,Other Properties
QUARTZ,,,,,2180,,Elastic Modulus in X: 0.000000000000000; Poisson's Ration in XY: 0.2; Shear Modulus in XY: 0.000000000000000; Thermal Expansion Coefficient in X: 3e-006; Thermal Conductivity in X: 1.2; Specific Heat: 821
SUPRASIL,7E+010,0.17,0,5.1e-007,2200,1.38,Specific Heat: 772; Tensile Strength: 50000000; Compressive Strength: 1150000000
SUPRASIL 312 ,7E+010,0.17,0,5.1e-007,2200,1.38,Specific Heat: 772; Tensile Strength: 50000000; Compressive Strength: 1150000000
KBr,,0.138,,,2753,,
SODA LIME FLOAT GLASS,7.2E+010,0.23,,8.3e-006,2530,0.937,Specific Heat: 880
SUPRASIL 2 GRADE A,70000,0.17,,,2200,1.38,Tensile Strength: 50; Compressive Strength: 1150
UV FUSED SILICA,9.099999642E+10,0.24,3.1E+10,,2200,1.38,Specific Heat: 770; Tensile Strength: 5.4E+10
AMTIR-1,130000000000.000000,,50000000000.000000,,,64.000000,Poissons Ratio: 0.300000; Density: 4400.000000; Specific Heat: 321.900000; Tensile Strength: 30000000.000000
CLEARTRAN (ZnS),74500000000.000000,,318900000000000.000000,,,27.200000,Poissons Ratio: 0.280000; Density: 4090.000000; Specific Heat: 515.000000; Tensile Strength: 30000000000000.000000
GERMANIUM,91000000000.000000,,28086000000.000000,0.000002300000000,,1.640000,Poissons Ratio: 0.240000; Density: 5300.000000; Specific Heat: 821.000000
ZINC SELENIDE,70326500000.000000,,28086000000.000000,0.000007000000000,,16.000000,Poissons Ratio: 0.280000; Density: 5264.000000; Specific Heat: 339.000000
SUPRASIL 312,,,,,2200,,Elastic Modulus in X: 9.1E+010; Poisson's Ration in XY: 0.24; Shear Modulus in XY: 2.8086E+010; Thermal Expansion Coefficient in X: 7e-006; Thermal Conductivity in X: 1.64; Specific Heat: 821
INFRASIL 301,2000000000,0.394,318900000,,1020,0.2256,Specific Heat: 1386; Tensile Strength: 30000000
INFRASIL 302,,,,,,,Elastic modulus: 0.20E+10; Poissons ratio: 0.394; Shear modulus: 0.3189E+09; Density: 0.102E+04; Thermal conductivity: 0.2256; Specific heat: 0.1386E+04; Tensile strength: 0.30E+08
NYLON 6/6,,,,,1134.88,,Elastic Modulus in X: 1310004137; Poisson's Ration in XY: 0.41; Shear Modulus in XY: 44815931; Thermal Conductivity in X: 0.26; Specific Heat: 1670; Tensile Strength in X: 3998599.97
PMMA,3100006144.000000,,2620004352.000000,,,0.370000,Poissons Ratio: 0.385900; Density: 1419.979492; Specific Heat: 1470.000000; Tensile Strength: 68999936.000000
REXOLITE,3100006144.000000,,2620004352.000000,,,0.370000,Poissons Ratio: 0.385900; Density: 1419.979492; Specific Heat: 1470.000000; Tensile Strength: 68999936.000000
ACRYLIC,3100006144.000000,,2620004352.000000,,,0.370000,Poissons Ratio: 0.385900; Density: 1419.979492; Specific Heat: 1470.000000; Tensile Strength: 68999936.000000
POLYCARBONATE,,,,,1419.98,,Elastic Modulus in X: 3100006144; Poisson's Ration in XY: 0.3859; Shear Modulus in XY: 2620004352; Thermal Conductivity in X: 0.37; Specific Heat: 1470; Tensile Strength in X: 68999936
OIL FILLED NYLON,3100006144.000000,,89631864.000000,,,0.370000,Poissons Ratio: 0.410000; Density: 1431.051514; Specific Heat: 1470.000000; Tensile Strength: 86184480.000000
VESPEL,3100006144.000000,,89631864.000000,,,0.370000,Poissons Ratio: 0.410000; Density: 1431.051514; Specific Heat: 1470.000000; Tensile Strength: 86184480.000000
BLACK DELRIN,,,,,1419.979512,,Elastic Modulus in X: 3100006200; Poisson's Ration in XY: 0.3859; Shear Modulus in XY: 2620004340; Thermal Conductivity in X: 0.37; Specific Heat: 1470; Tensile Strength in X: 68999938
ARTUS PLASTIC SHIM STOCK,1999997105.249385,,318899822.840807,,,0.225600,Poissons Ratio: 0.394000; Density: 1019.999240; Specific Heat: 1386.000000; Tensile Strength: 29999991.052534
ULTEM 1000  BLK,,,,,1270,,Elastic Modulus in X: 3510000000; Poisson's Ration in XY: 0.3; Thermal Expansion Coefficient in X: 5.58e-005; Thermal Conductivity in X: 0.22; Tensile Strength in X: 110000000; Yield Strength: 165000000
ZEONNEX E48R,,,,,1010,,Elastic Modulus in X: 2500000000; Poisson's Ration in XY: 0.3; Shear Modulus in XY: 2620004352; Thermal Expansion Coefficient in X: 7e-005; Tensile Strength in X: 71000000
DELRIN 150 NC010,2900000000,0,,,1420,,Tensile Strength: 3100000000
TEFLON FEP FILM,480000000,,,1,2150,0.195,Specific Heat: 1172; Tensile Strength: 21; Yield Strength: 12000000
POLYLACTIC ACID (PLA) BIOPOLYMER,3500000000,0.36,1287000000,,1251.5,0.111,Specific Heat: 1590; Tensile Strength: 59000000; Yield Strength: 70000000
BUNA-N,,,,,989.9388553,,Tensile Strength in X: 6205282.754
SILICONE 70,,,,,,,Elastic modulus: 0.20E+10; Poissons ratio: 0.394; Shear modulus: 0.3189E+09; Density: 0.102E+04; Thermal conductivity: 0.2256; Specific heat: 0.1386E+04; Tensile strength: 0.30E+08
DYMAX OP-29,,,,,1050,,Elastic Modulus in X: 241316505.4; Poisson's Ration in XY: 0.33; Thermal Expansion Coefficient in X: 0.000095000000000; Tensile Strength in X: 20684271.89
736 RED RTV,,,,,1040.764711,,Tensile Strength in X: 2400065.474
732 BLACK RTV,,,,,1040.764711,,Tensile Strength in X: 2300091.474
3M 2216 B/A,1,0.47,17021000,0.000102,1800,0.394,Specific Heat: 500; Tensile Strength: 18546897; :; :
CONAP EN-11,,,,,2767.991252,,Elastic Modulus in X: 1500000; Poisson's Ration in XY: 0.4; Thermal Expansion Coefficient in X: 0.00022; Tensile Strength in X: 20684271.89
DYMAX OP-4,,,,,2768,,Elastic Modulus in X: 5516000000; Poisson's Ration in XY: 0.3; Thermal Expansion Coefficient in X: 9.10008e-005; Tensile Strength in X: 61360000; Compressive Strength in X: 15170000
3M DP110 A/B GREY,,,,,1100,,Thermal Expansion Coefficient in X: 0.000165; Thermal Conductivity in X: 0.104; Tensile Strength in X: 22000000
NuSil SCV2-2590,,0.16,,0.00049,1040,,Tensile Strength: 3280000
NuSil CV-2566,,0.49,,0.00049,1040,,Tensile Strength: 3280000
Hexcel AS4C (3000 Filaments),,,,,1780,,Elastic Modulus in X: 2.31E+011; Tensile Strength in X: 4150000000
Thornel Mat VMA,,,,,2000,,Elastic Modulus in X: 1.7E+011; Thermal Conductivity in X: 0.41; Tensile Strength in X: 1400000000
Thornel VCB-20 Carbon Cloth,,,,,,,Density: 1.88E+03
Zoltek Panex 33,,,,,1810,,Poisson's Ration in XY: 0.1
Graphtek Unidirectional Pultruded,,,,,1490,,Poisson's Ration in XY: 0.1; Shear Modulus in XY: 65500000; Tensile Strength in X: 1379000000
GRANITE,,,,,2600,,Elastic Modulus in X: 2E+010; Poisson's Ration in XY: 0.394; Shear Modulus in XY: 318900000; Thermal Expansion Coefficient in X: 3.7; Thermal Conductivity in X: 1.2; Specific Heat: 0.21; Tensile Strength in X: 10000000
NEODYMIUM-IRON-BORON,,0.24,,3.4,7500,7.7,Specific Heat: 1386; Compressive Strength: 780
C260 Brass,1.103161167E+011,,,19.98,8525.413055,121,
Garolite G-10 Fiberglass Epoxy Laminate,,,,,,,Elastic modulus: 0.20E+10; Poisson's ratio: 0.394; Shear modulus: 0.3189E+09; Density: 0.102E+04; Thermal conductivity: 0.2256; Specific heat: 0.1386E+04; Tensile strength: 0.30E+08
HOQ 310,7.25E+010,0.17,3.0983E+010,5.1e-007,2200,1.38,Specific Heat: 772; Tensile Strength: 50000000; Compressive Strength: 1150000000
Infrasil 301,7.25E+010,0.17,3.0983E+010,5.1e-007,2200,1.38,Specific Heat: 772; Tensile Strength: 50000000; Compressive Strength: 1150000000
Infrasil 302,7.25E+010,0.17,3.0983E+010,5.1e-007,2200,1.38,Specific Heat: 772; Tensile Strength: 50000000; Compressive Strength: 1150000000
Spectrosil 2000,7.25E+010,0.17,3.0983E+010,5.1e-007,2200,1.38,Specific Heat: 772; Tensile Strength: 50000000; Compressive Strength: 1150000000
Suprasil 1,7.25E+010,0.17,3.0983E+010,5.1e-007,2200,1.38,Specific Heat: 772; Tensile Strength: 50000000; Compressive Strength: 1150000000
Suprasil 1 ArF/KrF,7.25E+010,0.17,3.0983E+010,5.1e-007,2200,1.38,Specific Heat: 772; Tensile Strength: 50000000; Compressive Strength: 1150000000
Suprasil 2 ArF/KrF,7.25E+010,0.17,3.0983E+010,5.1e-007,2200,1.38,Specific Heat: 772; Tensile Strength: 50000000; Compressive Strength: 1150000000
SUPRASIL 2A,7.25E+010,0.17,3.0983E+010,5.1e-007,2200,1.38,Specific Heat: 772; Tensile Strength: 50000000; Compressive Strength: 1150000000
Suprasil 2B,7.25E+010,0.17,3.0983E+010,5.1e-007,2200,1.38,Specific Heat: 772; Tensile Strength: 50000000; Compressive Strength: 1150000000
Suprasil 300,7.25E+010,0.17,3.0983E+010,5.1e-007,2200,1.38,Specific Heat: 772; Tensile Strength: 50000000; Compressive Strength: 1150000000
Suprasil 311,7.25E+010,0.17,3.0983E+010,5.1e-007,2200,1.38,Specific Heat: 772; Tensile Strength: 50000000; Compressive Strength: 1150000000
Suprasil 312,7.25E+010,0.17,3.0983E+010,5.1e-007,2200,1.38,Specific Heat: 772; Tensile Strength: 50000000; Compressive Strength: 1150000000
Suprasil 313,7.25E+010,0.17,3.0983E+010,5.1e-007,2200,1.38,Specific Heat: 772; Tensile Strength: 50000000; Compressive Strength: 1150000000
Suprasil 3001,7.25E+010,0.17,3.0983E+010,5.1e-007,2200,1.38,Specific Heat: 772; Tensile Strength: 50000000; Compressive Strength: 1150000000
Suprasil 3002,7.25E+010,0.17,3.0983E+010,5.1e-007,2200,1.38,Specific Heat: 772; Tensile Strength: 50000000; Compressive Strength: 1150000000
Suprasil 3301,7.25E+010,0.17,3.0983E+010,5.1e-007,2200,1.38,Specific Heat: 772; Tensile Strength: 50000000; Compressive Strength: 1150000000
Suprasil 3302,7.25E+010,0.17,3.0983E+010,5.1e-007,2200,1.38,Specific Heat: 772; Tensile Strength: 50000000; Compressive Strength: 1150000000
Suprasil CG,7.25E+010,0.17,3.0983E+010,5.1e-007,2200,1.38,Specific Heat: 772; Tensile Strength: 50000000; Compressive Strength: 1150000000
Suprasil UVL,7.25E+010,0.17,3.0983E+010,5.1e-007,2200,1.38,Specific Heat: 772; Tensile Strength: 50000000; Compressive Strength: 1150000000
OHARA L-BAL35,1.008E+011,0.252,4.03E+010,0.000006600000000,2820,1.126,
OHARA L-BAL42,8.91E+010,0.247,3.57E+010,0.000007200000000,3050,1.028,
OHARA L-BAL43,9.04E+010,0.25,3.62E+010,0.000007200000000,3050,1.028,
OHARA L-BBH1,6.88E+010,0.268,2.72E+010,0.000010700000000,6570,0.653,
OHARA L-BBH2,7.5E+010,0.269,2.96E+010,0.000008400000000,6740,0.64,
OHARA L-BSL7,7.93E+010,0.214,3.27E+010,0.000005800000000,2380,1.169,
OHARA L-LAH53,1.151E+011,0.298,4.43E+010,0.000005900000000,4490,0.862,
OHARA L-LAH81,1.127E+011,0.3,4.34E+010,0.000005800000000,4530,0.86,
OHARA L-LAH83,1.271E+011,0.299,4.89E+010,6.8e-006,5290,0.894,
OHARA L-LAH84,1.116E+011,0.303,4.28E+010,0.000006400000000,4620,0.875,
OHARA L-LAH85,1.261E+011,0.296,4.87E+010,0.000006500000000,5090,0.881,
OHARA L-LAH85V,,,,6.3e-006,5250,0.819,
OHARA L-LAH86,1.088E+011,0.302,4.18E+010,0.000006100000000,4900,0.838,
OHARA L-LAH87,1.147E+011,0.301,4.41E+010,0.000007100000000,4340,0.92,
OHARA L-LAH90,1.148E+011,0.304,4.4E+010,0.000006300000000,4650,0.839,
OHARA L-LAH91,1.144E+011,0.301,4.39E+010,0.000005700000000,4290,0.841,
OHARA L-LAL12,1.096E+011,0.28,4.28E+010,0.000007600000000,3480,0.925,
OHARA L-LAL13,1.078E+011,0.285,4.19E+010,0.000007600000000,3690,0.887,
OHARA L-LAM60,1.147E+011,0.289,4.45E+010,0.000007400000000,4200,0.876,
OHARA L-LAM69,1.133E+011,0.273,4.45E+010,0.000008600000000,3240,1.114,
OHARA L-LAM72,1.182E+011,0.283,4.6E+010,0.000006600000000,3890,,
OHARA L-NBH54,1.093E+011,0.205,4.54E+010,0.000008100000000,3640,1.184,
OHARA L-PHL1,6.89E+010,0.28,2.3E+010,0.000010500000000,3180,0.627,
OHARA L-PHL2,6.45E+010,0.272,2.53E+010,0.000009900000000,3030,0.683,
OHARA L-TIH53,,,,0.000007800000000,3340,1.044,
OHARA L-TIM28,8.45E+010,0.254,3.37E+010,0.000010100000000,2880,1.02,
OHARA S-BAH10,9.62E+010,0.273,3.78E+010,0.000006800000000,3480,0.902,
OHARA S-BAH11,9.29E+010,0.274,3.65E+010,0.000006900000000,3590,0.858,
OHARA S-BAH27,9.36E+010,0.272,3.68E+010,0.000006400000000,3670,0.869,
OHARA S-BAH28,9.11E+010,0.213,3.75E+010,0.000006600000000,3670,0.889,
OHARA S-BAH32,9.04E+010,0.26,3.59E+010,0.000006900000000,3260,0.921,
OHARA S-BAL2,7.27E+010,0.245,2.92E+010,0.000009100000000,2890,0.901,
OHARA S-BAL3,7.19E+010,0.249,2.88E+010,0.000009500000000,2980,0.864,
OHARA S-BAL11,8.19E+010,0.237,3.31E+010,0.000006600000000,3020,0.974,
OHARA S-BAL12,7.1E+010,0.161,3.06E+010,0.000008600000000,2750,0.982,
OHARA S-BAL14,8.11E+010,0.24,3.27E+010,0.000008000000000,2890,0.967,
OHARA S-BAL35,8.32E+010,0.25,3.33E+010,0.000005700000000,3310,0.915,
OHARA S-BAL41,8.9E+010,0.242,3.58E+010,0.000007500000000,2780,1.043,
OHARA S-BAL42,8.47E+010,0.246,3.4E+010,0.000006600000000,3190,0.974,
OHARA S-BAM3,7.71E+010,0.242,3.11E+010,0.000008500000000,2750,0.965,
OHARA S-BAM4,7.62E+010,0.244,3.06E+010,0.000008400000000,2910,0.931,
OHARA S-BAM12,9.04E+010,0.253,3.61E+010,0.000007600000000,3180,0.954,
OHARA S-BSL7,8E+010,0.205,3.32E+010,0.000007200000000,2520,1.13,
OHARA S-BSM2,7.8E+010,0.264,3.09E+010,0.000006500000000,3530,0.802,
OHARA S-BSM4,8.16E+010,0.265,3.22E+010,0.000006700000000,3570,0.836,
OHARA S-BSM9,8.65E+010,0.264,3.42E+010,0.000006400000000,3220,0.916,
OHARA S-BSM10,8.35E+010,0.266,3.3E+010,0.000006500000000,3600,0.822,
OHARA S-BSM14,8.49E+010,0.257,3.38E+010,0.000006200000000,3430,0.891,
OHARA S-BSM15,8.54E+010,0.265,3.38E+010,0.000006500000000,3600,0.845,
OHARA S-BSM16,8.78E+010,0.262,3.48E+010,0.000006700000000,3590,0.835,
OHARA S-BSM18,8.85E+010,0.268,3.49E+010,0.000007000000000,3690,0.815,
OHARA S-BSM22,8.74E+010,0.265,3.45E+010,0.000006600000000,3240,0.916,
OHARA S-BSM25,9.51E+010,0.272,3.74E+010,6.8e-006,3500,0.891,
OHARA S-BSM28,8.53E+010,0.258,3.39E+010,0.000008400000000,3230,0.878,
OHARA S-BSM71,8.62E+010,0.273,3.39E+010,0.000007100000000,3740,0.773,
OHARA S-BSM81,1.057E+011,0.271,4.16E+010,0.000005800000000,3060,1.001,
OHARA S-FPL51,7.27E+010,0.299,2.8E+010,0.000013100000000,3620,0.78,
OHARA S-FPL53,6.91E+010,0.303,2.65E+010,0.000014500000000,3620,0.857,
OHARA S-FPL55,6.98E+010,0.302,2.68E+010,0.000013600000000,3590,0.876,
OHARA S-FPM2,7.57E+010,0.287,2.94E+010,0.000011700000000,4170,0.624,
OHARA S-FPM3,8.06E+010,0.291,3.12E+010,0.000011500000000,3640,0.805,
OHARA S-FSL5,6.23E+010,0.227,2.54E+010,0.000009000000000,2460,1.007,
OHARA S-FTM16,6.53E+010,0.238,2.64E+010,0.000009000000000,2640,0.947,
OHARA S-LAH51,1.129E+011,0.297,4.35E+010,0.000005900000000,4400,0.826,
OHARA S-LAH52,1.119E+011,0.297,4.31E+010,0.000006000000000,4410,0.828,
OHARA S-LAH53,1.127E+011,0.299,4.34E+010,0.000005900000000,4430,0.86,
OHARA S-LAH55V,1.178E+011,0.253,4.7E+010,0.000006200000000,4730,0.853,
OHARA S-LAH58,1.268E+011,0.301,4.87E+010,0.000006600000000,5520,0.827,
OHARA S-LAH59,1.25E+011,0.298,4.82E+010,0.000006300000000,5070,0.816,
OHARA S-LAH60,1.248E+011,0.296,4.81E+010,0.000005600000000,4430,0.872,
OHARA S-LAH63,1.121E+011,0.295,4.33E+010,0.000005800000000,4340,0.849,
OHARA S-LAH64,1.224E+011,0.294,4.37E+010,0.000006100000000,4300,0.856,
OHARA S-LAH65V,1.22E+011,0.298,4.7E+010,0.000006000000000,4720,0.841,
OHARA S-LAH66,1.219E+011,0.291,4.72E+010,0.000006200000000,4230,0.845,
OHARA S-LAH71,1.1E+011,0.281,4.29E+010,0.000007700000000,4360,0.874,
OHARA S-LAH79,1.255E+011,0.297,4.84E+010,0.000006000000000,5230,0.957,
OHARA S-LAH88,1.135E+011,0.242,4.57E+010,0.000005700000000,4740,0.894,
OHARA S-LAH89,1.208E+011,0.303,4.63E+010,6.8e-006,4700,0.861,
OHARA S-LAH92,1.23E+011,0.306,4.71E+010,0.000007500000000,4870,0.873,
OHARA S-LAL7,9.58E+010,0.271,3.77E+010,0.000006700000000,3730,0.825,
OHARA S-LAL8,1.14E+011,0.289,4.42E+010,0.000006100000000,3790,0.894,
OHARA S-LAL9,1.075E+011,0.287,4.18E+010,0.000006100000000,3630,0.895,
OHARA S-LAL10,1.061E+011,0.294,4.1E+010,0.000006100000000,3860,0.85,
OHARA S-LAL12,9.1E+010,0.284,3.54E+010,0.000007200000000,4010,0.717,
OHARA S-LAL13,1.073E+011,0.29,4.16E+010,0.000005700000000,3600,0.893,
OHARA S-LAL14,1.118E+011,0.284,4.35E+010,0.000005700000000,3700,0.908,
OHARA S-LAL18,1.204E+011,0.289,4.67E+010,0.000005900000000,4180,0.871,
OHARA S-LAL54,8.77E+010,0.277,3.43E+010,0.000007100000000,3820,0.761,
OHARA S-LAL56,9.11E+010,0.28,3.56E+010,0.000006600000000,3850,0.778,
OHARA S-LAL58,9.28E+010,0.285,3.61E+010,0.000007500000000,4030,0.728,
OHARA S-LAL59,1.137E+011,0.293,4.4E+010,0.000005500000000,4040,0.863,
OHARA S-LAL61,1.19E+011,0.291,4.61E+010,0.000005700000000,4040,0.861,
OHARA S-LAM2,9.35E+010,0.295,3.61E+010,0.000007400000000,4320,0.698,
OHARA S-LAM3,8.68E+010,0.294,3.35E+010,0.000008000000000,4250,0.655,
OHARA S-LAM7,9.7E+010,0.273,3.81E+010,0.000006700000000,3810,0.871,
OHARA S-LAM51,1.007E+011,0.278,3.94E+010,0.000007100000000,3790,0.867,
OHARA S-LAM52,9.57E+010,0.278,3.74E+010,0.000007700000000,3950,0.801,
OHARA S-LAM54,1.172E+011,0.292,4.54E+010,0.000005700000000,4080,0.891,
OHARA S-LAM55,9.67E+010,0.292,3.74E+010,0.000007100000000,4220,0.741,
OHARA S-LAM58,9.19E+010,0.279,3.59E+010,0.000006600000000,4000,0.771,
OHARA S-LAM59,1.006E+011,0.277,3.94E+010,0.000007100000000,3770,0.847,
OHARA S-LAM60,1.132E+011,0.294,4.38E+010,0.000005400000000,4060,0.845,
OHARA S-LAM61,9.37E+010,0.29,3.63E+010,0.000006600000000,4100,0.732,
OHARA S-LAM66,1.21E+011,0.28,4.73E+010,0.000007900000000,3550,1.062,
OHARA S-NBH5,9.02E+010,0.248,3.61E+010,0.000006600000000,3020,0.965,
OHARA S-NBH8,1.017E+011,0.25,4.07E+010,0.000008100000000,3190,1.052,
OHARA S-NBH51,1.097E+011,0.253,4.38E+010,0.000007300000000,3290,1.124,
OHARA S-NBH52,9.79E+010,0.236,3.96E+010,0.000008600000000,3090,1.115,
OHARA S-NBH53,1.031E+011,0.236,4.17E+010,0.000006900000000,3280,1.117,
OHARA S-NBH55,1.053E+011,0.269,4.15E+010,0.000008200000000,3680,0.994,
OHARA S-NBH56,1.067E+011,0.249,4.27E+010,0.000007700000000,3490,1.12,
OHARA S-NBH57,1.117E+011,0.275,4.38E+010,0.000007700000000,4000,0.988,
OHARA S-NBM51,8.17E+010,0.243,3.29E+010,0.000006500000000,2930,0.904,
OHARA S-NPH1,8.93E+010,0.25,3.57E+010,0.000008300000000,3290,0.882,
OHARA S-NPH2,9.91E+010,0.249,3.97E+010,0.000006700000000,3580,0.969,
OHARA S-NPH3,1.022E+011,0.243,4.11E+010,0.000005900000000,3590,1.007,
OHARA S-NPH4,9.45E+010,0.254,3.77E+010,0.000007300000000,3610,0.925,
OHARA S-NPH5,9.29E+010,0.256,3.7E+010,0.000007600000000,3710,0.877,
OHARA S-NPH53,8.86E+010,0.258,3.52E+010,0.000007400000000,3780,0.83,
OHARA S-NSL3,7E+010,0.217,2.88E+010,0.000009000000000,2480,1.026,
OHARA S-NSL5,6.91E+010,0.14,3.03E+010,0.000008200000000,2490,1.058,
OHARA S-NSL36,6.4E+010,0.139,2.81E+010,0.000008000000000,2460,1.089,
OHARA S-PHM52,7.15E+010,0.292,2.77E+010,0.000010100000000,3670,0.599,
OHARA S-PHM53,7.08E+010,0.285,2.75E+010,0.000009300000000,3510,0.615,
OHARA S-TIH1,8.84E+010,0.247,3.55E+010,0.000008200000000,3060,1.018,
OHARA S-TIH3,9.08E+010,0.254,3.62E+010,0.000008500000000,3110,1.027,
OHARA S-TIH4,9.19E+010,0.254,3.67E+010,0.000008500000000,3150,1.01,
OHARA S-TIH6,9.31E+010,0.261,3.69E+010,0.000008900000000,3370,1.011,
OHARA S-TIH10,1.024E+011,0.243,4.12E+010,0.000008000000000,3060,1.043,
OHARA S-TIH11,9.12E+010,0.255,3.63E+010,0.000008900000000,3240,1.017,
OHARA S-TIH13,8.99E+010,0.249,3.6E+010,0.000008300000000,3100,1.034,
OHARA S-TIH14,8.88E+010,0.254,3.54E+010,0.000008700000000,3170,1.027,
OHARA S-TIH18,8.91E+010,0.248,3.57E+010,0.000008300000000,3070,1.029,
OHARA S-TIH23,9.22E+010,0.26,3.66E+010,0.000008800000000,3300,0.992,
OHARA S-TIH53,9.6E+010,0.266,3.79E+010,0.000008800000000,3540,1,
OHARA S-TIH53W,9.6E+010,0.266,3.79E+010,0.000008800000000,3540,1,
OHARA S-TIL1,7.05E+010,0.222,2.88E+010,0.000008600000000,2540,1.039,
OHARA S-TIL2,6.99E+010,0.22,2.86E+010,0.000008200000000,2520,1.051,
OHARA S-TIL6,6.48E+010,0.146,2.83E+010,0.000008200000000,2500,1.059,
OHARA S-TIL25,7.53E+010,0.22,3.09E+010,0.000007400000000,2590,1.054,
OHARA S-TIL26,7.39E+010,0.222,3.02E+010,0.000007900000000,2570,1.054,
OHARA S-TIL27,7.49E+010,0.217,3.08E+010,0.000007400000000,2580,1.07,
OHARA S-TIM1,7.86E+010,0.234,3.19E+010,8.1,2710,1.043,
OHARA S-TIM2,7.76E+010,0.23,3.15E+010,0.000008100000000,2690,1.394,
OHARA S-TIM3,7.79E+010,0.229,3.17E+010,0.000007700000000,2670,1.044,
OHARA S-TIM5,7.63E+010,0.233,3.09E+010,0.000008300000000,2630,1.04,
OHARA S-TIM8,7.5E+010,0.231,3.05E+010,0.000008400000000,2630,1.034,
OHARA S-TIM22,7.98E+010,0.238,3.22E+010,0.000008300000000,2790,1.024,
OHARA S-TIM25,8.41E+010,0.236,3.4E+010,0.000007900000000,2910,1.046,
OHARA S-TIM27,7.93E+010,0.236,3.21E+010,0.000008000000000,2760,1.035,
OHARA S-TIM28,8.55E+010,0.242,3.44E+010,0.000008200000000,2980,1.006,
OHARA S-TIM35,8.75E+010,0.238,3.53E+010,0.000007500000000,2960,1.049,
OHARA S-TIM39,8.17E+010,0.246,3.28E+010,0.000008700000000,2920,0.988,
OHARA S-YGH51,1.222E+011,0.291,4.73E+010,0.000005800000000,4400,0.842,
SCHOTT BAFN6,7.7E+010,0.234,3.1199E+010,7.8e-006,3170,,
SCHOTT BK7G18,8.2E+010,0.205,3.4025E+010,7e-006,2520,1.19,Specific Heat: 820
SCHOTT F2,5.7E+010,0.22,2.3361E+010,0.000008200000000,3599,0.78,Specific Heat: 557
SCHOTT F2G12,5.756E+010,0.222,2.3552E+010,0.000008080000000,3601,0.82,Specific Heat: 530
SCHOTT F2HT,5.7E+010,0.22,2.3361E+010,0.000008200000000,3599,0.78,Specific Heat: 557
SCHOTT F5,5.8E+010,0.22,2.377E+010,0.000008000000000,3470,0.88,Specific Heat: 560
SCHOTT FK3,4.6E+010,0.243,1.8504E+010,0.000008200000000,2270,0.9,Specific Heat: 840
SCHOTT FK5HTi,6.2E+010,0.232,2.5162E+010,0.000009200000000,2450,0.925,Specific Heat: 808
SCHOTT K5G20,6.8E+010,0.222,2.7823E+010,0.000008990000000,2593,1,Specific Heat: 790
SCHOTT K10,6.5E+010,0.19,2.7311E+010,0.000006500000000,2520,1.12,Specific Heat: 770
SCHOTT K7,6.9E+010,0.214,2.8418E+010,0.000008400000000,2530,,
SCHOTT KZFS12,6.6E+010,0.279,2.5801E+010,0.000005180000000,3836,0.71,Specific Heat: 540
SCHOTT KZFSN5,6.5E+010,0.275,2.549E+010,0.000004500000000,3460,,
SCHOTT LAFN7,8E+010,0.28,3.125E+010,0.000005300000000,4380,0.77,
SCHOTT LAK9G15,1.0783E+011,0.288,4.1859E+010,0.000006340000000,3525,0.88,Specific Heat: 660
SCHOTT LASF35,1.32E+011,0.303,5.0652E+010,0.000007400000000,5410,0.92,Specific Heat: 445
SCHOTT LF5,5.9E+010,0.223,2.4121E+010,0.000009100000000,3220,0.866,Specific Heat: 657
SCHOTT LF5G15,5.957E+010,0.228,2.4255E+010,0.000009300000000,3221,0.86,Specific Heat: 600
SCHOTT LF5G19,5.6E+010,0.242,2.2544E+010,0.000010700000000,3300,0.75,Specific Heat: 580
SCHOTT LF5HTi,5.9E+010,0.223,2.4121E+010,0.000009100000000,3220,0.866,Specific Heat: 657
SCHOTT LLF1,6E+010,0.208,2.4834E+010,0.000008100000000,2940,0.99,Specific Heat: 650
SCHOTT LLF1HTi,6E+010,0.208,2.4834E+010,0.000008100000000,2940,0.99,Specific Heat: 650
SCHOTT N-BAF3,8.2E+010,0.226,3.3442E+010,0.000007170000000,2792,1.04,Specific Heat: 760
SCHOTT N-BAF4,8.5E+010,0.231,3.4525E+010,0.000007240000000,2889,1.02,Specific Heat: 740
SCHOTT N-BAF10,8.9E+010,0.271,3.5012E+010,0.000006180000000,3745,0.78,Specific Heat: 560
SCHOTT N-BAF51,9.1E+010,0.262,3.6054E+010,0.000008370000000,3333,0.67,Specific Heat: 840
SCHOTT N-BAF52,8.6E+010,0.237,3.4762E+010,0.000006860000000,3045,0.96,Specific Heat: 680
SCHOTT N-BAK1,7.3E+010,0.252,2.9153E+010,0.000007600000000,3190,0.795,Specific Heat: 687
SCHOTT N-BAK2,7.1E+010,0.233,2.8792E+010,0.000008000000000,2860,0.92,Specific Heat: 690
SCHOTT N-BAK4,7.7E+010,0.24,3.1048E+010,0.000006990000000,3046,0.88,Specific Heat: 680
SCHOTT N-BAK4HT,7.7E+010,0.24,3.1048E+010,0.000006990000000,3046,0.88,Specific Heat: 680
SCHOTT N-BALF4,7.7E+010,0.245,3.0924E+010,0.000006520000000,3111,0.85,Specific Heat: 690
SCHOTT N-BALF5,8.1E+010,0.214,3.3361E+010,0.000007340000000,2614,1.05,Specific Heat: 810
