Glass Name,Poisson's Ratio,Thermal Expansion Coefficient,Density (kg/m³),Thermal Conductivity,Other Properties
304 STAINLESS STEEL,,0.000096,,142.000000,Elastic Modulus: 71016013824.000000; Poissons Ratio: 0.330000; Shear Modulus: 77221298176.000000; Density: 7999.494629; Specific Heat: 900.000000; Tensile Strength: 619838784.000000; Yield Strength: 239937600.000000
304N STAINLESS STEEL,,,8000,,Elastic Modulus in X: 1.93E+011; Poisson's Ration in XY: 0.33; Shear Modulus in XY: 318900000; Thermal Expansion Coefficient in X: 18.9; Thermal Conductivity in X: 0.2256; Specific Heat: 500; Tensile Strength in X: 620000000; Yield Strength: 330000000
316 STAINLESS STEEL,,,8000,,Elastic Modulus in X: 1.93E+011; Poisson's Ration in XY: 0.285; Shear Modulus in XY: 7.7E+010; Thermal Expansion Coefficient in X: 1.6e-005; Thermal Conductivity in X: 16.3; Specific Heat: 500; Tensile Strength in X: 580000000; Yield Strength: 250000000
400 SERIES S.S,,0.000096,,142.000000,Elastic Modulus: 71016013824.000000; Poissons Ratio: 0.330000; Shear Modulus: 77221298176.000000; Density: 7999.494629; Specific Heat: 900.000000; Tensile Strength: 619838784.000000; Yield Strength: 239937600.000000
410 STAINLESS STEEL,,,7805.73533,,Elastic Modulus in X: 1.999479998E+011; Poisson's Ration in XY: 0.33; Shear Modulus in XY: 7.722129649E+010; Thermal Expansion Coefficient in X: 9.9e-006; Thermal Conductivity in X: 24.9; Specific Heat: 460; Tensile Strength in X: 1525120606; Yield Strength: 1225198606
416 STAINLESS STEEL,,,7800,,Elastic Modulus in X: 2E+011; Poisson's Ration in XY: 0.33; Shear Modulus in XY: 8.3E+010; Thermal Expansion Coefficient in X: 9.9e-006; Thermal Conductivity in X: 24.9; Specific Heat: 460; Tensile Strength in X: 515000000; Yield Strength: 275000000
430 SERIES STAINLESS STEEL,0.28,0.000010500000000,7800,27,Elastic Modulus: 1.999999481E+011; Shear Modulus: 6.499997967E+010; Specific Heat: 490; Tensile Strength: 475000514.4; Compressive Strength: 289993491.9; Yield Strength: 274997394.8
440 STAINLESS STEEL,,0.000096,,142.000000,Elastic Modulus: 71016013824.000000; Poissons Ratio: 0.330000; Shear Modulus: 77221298176.000000; Density: 7999.494629; Specific Heat: 900.000000; Tensile Strength: 619838784.000000; Yield Strength: 239937600.000000
440C STAINLESS STEEL,0.283,0.000010200000000,7805.73533,24.2,Elastic Modulus: 2.04084816E+011; Shear Modulus: 8.411603901E+010; Specific Heat: 460; Tensile Strength: 758423302.6; Yield Strength: 450227651.4
455 STAINLESS STEEL,,0.000006,,24.700000,Elastic Modulus: 199947999835.325930; Poissons Ratio: 0.300000; Shear Modulus: 77221296488.125870; Density: 7750.375505; Specific Heat: 515.000000; Tensile Strength: 999739999.176630; Yield Strength: 710160137.346158
"AISI 1018 STEEL, COLD DRAWN",,,7861.095155,,Elastic Modulus in X: 2.047742917E+011; Poisson's Ration in XY: 0.29; Shear Modulus in XY: 7.997918464E+010; Thermal Conductivity in X: 51.9; Specific Heat: 485.669; Tensile Strength in X: 439885515.5; Yield Strength: 370248466.8
AISI 4150 STEEL,,0.000006,,24.700001,Elastic Modulus: 199947993088.000000; Poissons Ratio: 0.300000; Shear Modulus: 77221298176.000000; Density: 7750.375488; Specific Heat: 515.000000; Tensile Strength: 999739968.000000; Yield Strength: 710160128.000000
INVAR-36,0.29,0.000001300000000,8049.318359,11.1,Elastic Modulus: 1.475478344E+011; Shear Modulus: 7.722129818E+010; Specific Heat: 515; Tensile Strength: 448000736; Yield Strength: 275997184
SUPER INVAR 32-5,0.29,8.4e-007,8137.89,10,Elastic Modulus: 1.45E+011; Specific Heat: 502.416; Tensile Strength: 482633010.7; Yield Strength: 275790291.8
CARBON STEEL,0.28,0.13E-4,,43.,Elastic Modulus: 0.21E+12; Shear Modulus: 0.79E+11; Density: 0.78E+04; Specific Heat: 0.44E+03; Tensile Strength: 3.99826E+8; Yield Strength: 2.20594E+8; Financial Impact: 0.614 USD/kg
ASTM A36 STEEL,0.26,1.5e-05,7861.095155,47,Elastic Modulus: 1.999479616E+11; Shear Modulus: 7.928970891E+10; Specific Heat: 420; Tensile Strength: 420507000; Yield Strength: 250279689.9
BOROSILICATE,,0.000003,,1.200000,Elastic Modulus: 62750000000.000000; Poissons Ratio: 0.200000; Shear Modulus: 28085999616.000000; Density: 2180.000000; Specific Heat: 821.000000
CAF2,0.261,9e-06,3180,1.011,Elastic Modulus: 6.5E+10; Shear Modulus: 2.549E+10; Specific Heat: 595; NDNOM: 12345 SOMETHINGS
CORNING 7056,,0.000005,,0.895000,Elastic Modulus: 6400000000.000000; Poissons Ratio: 0.210000; Shear Modulus: 2700000000.000000; Density: 2290.000000; Specific Heat: 830.000000
FUSED SILICA,0.24,5.1e-007,2200,1.64,Elastic Modulus: 9.099999642E+010; Shear Modulus: 2.808599962E+010; Specific Heat: 821; Yield Strength: 48000000
NG-1,,,,,Elastic modulus: 0.20E+10; Poissons ratio: 0.394; Shear modulus: 0.3189E+09; Density: 0.102E+04; Thermal conductivity: 0.2256; Specific heat: 0.1386E+04; Tensile strength: 0.30E+08
PYREX,,0.000007,,1.640000,Elastic Modulus: 90999996416.000000; Poissons Ratio: 0.278000; Shear Modulus: 28085999616.000000; Density: 3710.000000; Specific Heat: 574.000000
SAPPHIRE,0.24,0.000007000000000,2200,1.64,Elastic Modulus: 9.099999642E+010; Shear Modulus: 2.808599962E+010; Specific Heat: 821
SILICON,,0.000009,,1.011000,Elastic Modulus: 65000001536.000000; Poissons Ratio: 0.261000; Shear Modulus: 25489999872.000000; Density: 3370.000000; Specific Heat: 595.000000
UG-1,,0.000007,,1.114000,Elastic Modulus: 90999996416.000000; Poissons Ratio: 0.206000; Shear Modulus: 28085999616.000000; Density: 2770.000000; Specific Heat: 858.000000
ULE,,0.000000,,1.310000,Elastic Modulus: 6770000000.000000; Poissons Ratio: 0.176000; Shear Modulus: 26200000000.000000; Density: 22000.000000; Specific Heat: 766.000000
ZERODUR,0.243,0,2530,1.46,Elastic Modulus: 9.0321338E+010; Shear Modulus: 8.2047631E+010; Specific Heat: 820; Tensile Strength: 564680700; Yield Strength: 250279740
ZIRCONIA,,0.000012,,1.675000,Elastic Modulus: 200000000000.000000; Poissons Ratio: 0.220000; Shear Modulus: 90407002112.000000; Density: 5680.001088; Specific Heat: 877.960022; Tensile Strength: 172340000.000000; Compressive Strength: 551489984.000000
BOROFLOAT,,,2180,,Elastic Modulus in X: 6.275E+010; Poisson's Ration in XY: 0.2; Shear Modulus in XY: 2.808599962E+010; Thermal Expansion Coefficient in X: 3e-006; Thermal Conductivity in X: 1.2; Specific Heat: 821; QUARTZ:
QUARTZ,,,2180,,Elastic Modulus in X: 0.000000000000000; Poisson's Ration in XY: 0.2; Shear Modulus in XY: 0.000000000000000; Thermal Expansion Coefficient in X: 3e-006; Thermal Conductivity in X: 1.2; Specific Heat: 821
SUPRASIL,0.17,5.1e-007,2200,1.38,Elastic Modulus: 7E+010; Shear Modulus: 0; Specific Heat: 772; Tensile Strength: 50000000; Compressive Strength: 1150000000
SUPRASIL 312 ,0.17,5.1e-007,2200,1.38,Elastic Modulus: 7E+010; Shear Modulus: 0; Specific Heat: 772; Tensile Strength: 50000000; Compressive Strength: 1150000000
KBr,0.138,,2753,,
SODA LIME FLOAT GLASS,0.23,8.3e-006,2530,0.937,Elastic Modulus: 7.2E+010; Specific Heat: 880
SUPRASIL 2 GRADE A,0.17,,2200,1.38,Elastic Modulus: 70000; Tensile Strength: 50; Compressive Strength: 1150
UV FUSED SILICA,0.24,,2200,1.38,Elastic Modulus: 9.099999642E+10; Shear Modulus: 3.1E+10; Specific Heat: 770; Tensile Strength: 5.4E+10
AMTIR-1,,,,64.000000,Elastic Modulus: 130000000000.000000; Poissons Ratio: 0.300000; Shear Modulus: 50000000000.000000; Density: 4400.000000; Specific Heat: 321.900000; Tensile Strength: 30000000.000000
CLEARTRAN (ZnS),,,,27.200000,Elastic Modulus: 74500000000.000000; Poissons Ratio: 0.280000; Shear Modulus: 318900000000000.000000; Density: 4090.000000; Specific Heat: 515.000000; Tensile Strength: 30000000000000.000000
GERMANIUM,,0.000002300000000,,1.640000,Elastic Modulus: 91000000000.000000; Poissons Ratio: 0.240000; Shear Modulus: 28086000000.000000; Density: 5300.000000; Specific Heat: 821.000000
ZINC SELENIDE,,0.000007000000000,,16.000000,Elastic Modulus: 70326500000.000000; Poissons Ratio: 0.280000; Shear Modulus: 28086000000.000000; Density: 5264.000000; Specific Heat: 339.000000
SUPRASIL 312,,,2200,,Elastic Modulus in X: 9.1E+010; Poisson's Ration in XY: 0.24; Shear Modulus in XY: 2.8086E+010; Thermal Expansion Coefficient in X: 7e-006; Thermal Conductivity in X: 1.64; Specific Heat: 821
INFRASIL 301,0.394,,1020,0.2256,Elastic Modulus: 2000000000; Shear Modulus: 318900000; Specific Heat: 1386; Tensile Strength: 30000000
INFRASIL 302,,,,,Elastic modulus: 0.20E+10; Poissons ratio: 0.394; Shear modulus: 0.3189E+09; Density: 0.102E+04; Thermal conductivity: 0.2256; Specific heat: 0.1386E+04; Tensile strength: 0.30E+08
NYLON 6/6,,,1134.88,,Elastic Modulus in X: 1310004137; Poisson's Ration in XY: 0.41; Shear Modulus in XY: 44815931; Thermal Conductivity in X: 0.26; Specific Heat: 1670; Tensile Strength in X: 3998599.97
PMMA,,,,0.370000,Elastic Modulus: 3100006144.000000; Poissons Ratio: 0.385900; Shear Modulus: 2620004352.000000; Density: 1419.979492; Specific Heat: 1470.000000; Tensile Strength: 68999936.000000
REXOLITE,,,,0.370000,Elastic Modulus: 3100006144.000000; Poissons Ratio: 0.385900; Shear Modulus: 2620004352.000000; Density: 1419.979492; Specific Heat: 1470.000000; Tensile Strength: 68999936.000000
ACRYLIC,,,,0.370000,Elastic Modulus: 3100006144.000000; Poissons Ratio: 0.385900; Shear Modulus: 2620004352.000000; Density: 1419.979492; Specific Heat: 1470.000000; Tensile Strength: 68999936.000000
POLYCARBONATE,,,1419.98,,Elastic Modulus in X: 3100006144; Poisson's Ration in XY: 0.3859; Shear Modulus in XY: 2620004352; Thermal Conductivity in X: 0.37; Specific Heat: 1470; Tensile Strength in X: 68999936
OIL FILLED NYLON,,,,0.370000,Elastic Modulus: 3100006144.000000; Poissons Ratio: 0.410000; Shear Modulus: 89631864.000000; Density: 1431.051514; Specific Heat: 1470.000000; Tensile Strength: 86184480.000000
VESPEL,,,,0.370000,Elastic Modulus: 3100006144.000000; Poissons Ratio: 0.410000; Shear Modulus: 89631864.000000; Density: 1431.051514; Specific Heat: 1470.000000; Tensile Strength: 86184480.000000
BLACK DELRIN,,,1419.979512,,Elastic Modulus in X: 3100006200; Poisson's Ration in XY: 0.3859; Shear Modulus in XY: 2620004340; Thermal Conductivity in X: 0.37; Specific Heat: 1470; Tensile Strength in X: 68999938
ARTUS PLASTIC SHIM STOCK,,,,0.225600,Elastic Modulus: 1999997105.249385; Poissons Ratio: 0.394000; Shear Modulus: 318899822.840807; Density: 1019.999240; Specific Heat: 1386.000000; Tensile Strength: 29999991.052534
ULTEM 1000  BLK,,,1270,,Elastic Modulus in X: 3510000000; Poisson's Ration in XY: 0.3; Thermal Expansion Coefficient in X: 5.58e-005; Thermal Conductivity in X: 0.22; Tensile Strength in X: 110000000; Yield Strength: 165000000
ZEONNEX E48R,,,1010,,Elastic Modulus in X: 2500000000; Poisson's Ration in XY: 0.3; Shear Modulus in XY: 2620004352; Thermal Expansion Coefficient in X: 7e-005; Tensile Strength in X: 71000000
DELRIN 150 NC010,0,,1420,,Elastic Modulus: 2900000000; Tensile Strength: 3100000000
TEFLON FEP FILM,,1,2150,0.195,Elastic Modulus: 480000000; Specific Heat: 1172; Tensile Strength: 21; Yield Strength: 12000000
POLYLACTIC ACID (PLA) BIOPOLYMER,0.36,,1251.5,0.111,Elastic Modulus: 3500000000; Shear Modulus: 1287000000; Specific Heat: 1590; Tensile Strength: 59000000; Yield Strength: 70000000
BUNA-N,,,989.9388553,,Tensile Strength in X: 6205282.754
SILICONE 70,,,,,Elastic modulus: 0.20E+10; Poissons ratio: 0.394; Shear modulus: 0.3189E+09; Density: 0.102E+04; Thermal conductivity: 0.2256; Specific heat: 0.1386E+04; Tensile strength: 0.30E+08
DYMAX OP-29,,,1050,,Elastic Modulus in X: 241316505.4; Poisson's Ration in XY: 0.33; Thermal Expansion Coefficient in X: 0.000095000000000; Tensile Strength in X: 20684271.89
736 RED RTV,,,1040.764711,,Tensile Strength in X: 2400065.474
732 BLACK RTV,,,1040.764711,,Tensile Strength in X: 2300091.474
3M 2216 B/A,0.47,0.000102,1800,0.394,Elastic Modulus: 1; Shear Modulus: 17021000; Specific Heat: 500; Tensile Strength: 18546897; :; :
CONAP EN-11,,,2767.991252,,Elastic Modulus in X: 1500000; Poisson's Ration in XY: 0.4; Thermal Expansion Coefficient in X: 0.00022; Tensile Strength in X: 20684271.89
DYMAX OP-4,,,2768,,Elastic Modulus in X: 5516000000; Poisson's Ration in XY: 0.3; Thermal Expansion Coefficient in X: 9.10008e-005; Tensile Strength in X: 61360000; Compressive Strength in X: 15170000
3M DP110 A/B GREY,,,1100,,Thermal Expansion Coefficient in X: 0.000165; Thermal Conductivity in X: 0.104; Tensile Strength in X: 22000000
NuSil SCV2-2590,0.16,0.00049,1040,,Tensile Strength: 3280000
NuSil CV-2566,0.49,0.00049,1040,,Tensile Strength: 3280000
Hexcel AS4C (3000 Filaments),,,1780,,Elastic Modulus in X: 2.31E+011; Tensile Strength in X: 4150000000
Thornel Mat VMA,,,2000,,Elastic Modulus in X: 1.7E+011; Thermal Conductivity in X: 0.41; Tensile Strength in X: 1400000000
Thornel VCB-20 Carbon Cloth,,,,,Density: 1.88E+03
Zoltek Panex 33,,,1810,,Poisson's Ration in XY: 0.1
Graphtek Unidirectional Pultruded,,,1490,,Poisson's Ration in XY: 0.1; Shear Modulus in XY: 65500000; Tensile Strength in X: 1379000000
GRANITE,,,2600,,Elastic Modulus in X: 2E+010; Poisson's Ration in XY: 0.394; Shear Modulus in XY: 318900000; Thermal Expansion Coefficient in X: 3.7; Thermal Conductivity in X: 1.2; Specific Heat: 0.21; Tensile Strength in X: 10000000
NEODYMIUM-IRON-BORON,0.24,3.4,7500,7.7,Specific Heat: 1386; Compressive Strength: 780
C260 Brass,,19.98,8525.413055,121,Elastic Modulus: 1.103161167E+011
Garolite G-10 Fiberglass Epoxy Laminate,,,,,Elastic modulus: 0.20E+10; Poisson's ratio: 0.394; Shear modulus: 0.3189E+09; Density: 0.102E+04; Thermal conductivity: 0.2256; Specific heat: 0.1386E+04; Tensile strength: 0.30E+08
HOQ 310,0.17,5.1e-007,2200,1.38,Elastic Modulus: 7.25E+010; Shear Modulus: 3.0983E+010; Specific Heat: 772; Tensile Strength: 50000000; Compressive Strength: 1150000000
Infrasil 301,0.17,5.1e-007,2200,1.38,Elastic Modulus: 7.25E+010; Shear Modulus: 3.0983E+010; Specific Heat: 772; Tensile Strength: 50000000; Compressive Strength: 1150000000
Infrasil 302,0.17,5.1e-007,2200,1.38,Elastic Modulus: 7.25E+010; Shear Modulus: 3.0983E+010; Specific Heat: 772; Tensile Strength: 50000000; Compressive Strength: 1150000000
Spectrosil 2000,0.17,5.1e-007,2200,1.38,Elastic Modulus: 7.25E+010; Shear Modulus: 3.0983E+010; Specific Heat: 772; Tensile Strength: 50000000; Compressive Strength: 1150000000
Suprasil 1,0.17,5.1e-007,2200,1.38,Elastic Modulus: 7.25E+010; Shear Modulus: 3.0983E+010; Specific Heat: 772; Tensile Strength: 50000000; Compressive Strength: 1150000000
Suprasil 1 ArF/KrF,0.17,5.1e-007,2200,1.38,Elastic Modulus: 7.25E+010; Shear Modulus: 3.0983E+010; Specific Heat: 772; Tensile Strength: 50000000; Compressive Strength: 1150000000
Suprasil 2 ArF/KrF,0.17,5.1e-007,2200,1.38,Elastic Modulus: 7.25E+010; Shear Modulus: 3.0983E+010; Specific Heat: 772; Tensile Strength: 50000000; Compressive Strength: 1150000000
SUPRASIL 2A,0.17,5.1e-007,2200,1.38,Elastic Modulus: 7.25E+010; Shear Modulus: 3.0983E+010; Specific Heat: 772; Tensile Strength: 50000000; Compressive Strength: 1150000000
Suprasil 2B,0.17,5.1e-007,2200,1.38,Elastic Modulus: 7.25E+010; Shear Modulus: 3.0983E+010; Specific Heat: 772; Tensile Strength: 50000000; Compressive Strength: 1150000000
Suprasil 300,0.17,5.1e-007,2200,1.38,Elastic Modulus: 7.25E+010; Shear Modulus: 3.0983E+010; Specific Heat: 772; Tensile Strength: 50000000; Compressive Strength: 1150000000
Suprasil 311,0.17,5.1e-007,2200,1.38,Elastic Modulus: 7.25E+010; Shear Modulus: 3.0983E+010; Specific Heat: 772; Tensile Strength: 50000000; Compressive Strength: 1150000000
Suprasil 312,0.17,5.1e-007,2200,1.38,Elastic Modulus: 7.25E+010; Shear Modulus: 3.0983E+010; Specific Heat: 772; Tensile Strength: 50000000; Compressive Strength: 1150000000
Suprasil 313,0.17,5.1e-007,2200,1.38,Elastic Modulus: 7.25E+010; Shear Modulus: 3.0983E+010; Specific Heat: 772; Tensile Strength: 50000000; Compressive Strength: 1150000000
Suprasil 3001,0.17,5.1e-007,2200,1.38,Elastic Modulus: 7.25E+010; Shear Modulus: 3.0983E+010; Specific Heat: 772; Tensile Strength: 50000000; Compressive Strength: 1150000000
Suprasil 3002,0.17,5.1e-007,2200,1.38,Elastic Modulus: 7.25E+010; Shear Modulus: 3.0983E+010; Specific Heat: 772; Tensile Strength: 50000000; Compressive Strength: 1150000000
Suprasil 3301,0.17,5.1e-007,2200,1.38,Elastic Modulus: 7.25E+010; Shear Modulus: 3.0983E+010; Specific Heat: 772; Tensile Strength: 50000000; Compressive Strength: 1150000000
Suprasil 3302,0.17,5.1e-007,2200,1.38,Elastic Modulus: 7.25E+010; Shear Modulus: 3.0983E+010; Specific Heat: 772; Tensile Strength: 50000000; Compressive Strength: 1150000000
Suprasil CG,0.17,5.1e-007,2200,1.38,Elastic Modulus: 7.25E+010; Shear Modulus: 3.0983E+010; Specific Heat: 772; Tensile Strength: 50000000; Compressive Strength: 1150000000
Suprasil UVL,0.17,5.1e-007,2200,1.38,Elastic Modulus: 7.25E+010; Shear Modulus: 3.0983E+010; Specific Heat: 772; Tensile Strength: 50000000; Compressive Strength: 1150000000
OHARA L-BAL35,0.252,0.000006600000000,2820,1.126,Elastic Modulus: 1.008E+011; Shear Modulus: 4.03E+010
OHARA L-BAL42,0.247,0.000007200000000,3050,1.028,Elastic Modulus: 8.91E+010; Shear Modulus: 3.57E+010
OHARA L-BAL43,0.25,0.000007200000000,3050,1.028,Elastic Modulus: 9.04E+010; Shear Modulus: 3.62E+010
OHARA L-BBH1,0.268,0.000010700000000,6570,0.653,Elastic Modulus: 6.88E+010; Shear Modulus: 2.72E+010
OHARA L-BBH2,0.269,0.000008400000000,6740,0.64,Elastic Modulus: 7.5E+010; Shear Modulus: 2.96E+010
OHARA L-BSL7,0.214,0.000005800000000,2380,1.169,Elastic Modulus: 7.93E+010; Shear Modulus: 3.27E+010
OHARA L-LAH53,0.298,0.000005900000000,4490,0.862,Elastic Modulus: 1.151E+011; Shear Modulus: 4.43E+010
OHARA L-LAH81,0.3,0.000005800000000,4530,0.86,Elastic Modulus: 1.127E+011; Shear Modulus: 4.34E+010
OHARA L-LAH83,0.299,6.8e-006,5290,0.894,Elastic Modulus: 1.271E+011; Shear Modulus: 4.89E+010
OHARA L-LAH84,0.303,0.000006400000000,4620,0.875,Elastic Modulus: 1.116E+011; Shear Modulus: 4.28E+010
OHARA L-LAH85,0.296,0.000006500000000,5090,0.881,Elastic Modulus: 1.261E+011; Shear Modulus: 4.87E+010
OHARA L-LAH85V,,6.3e-006,5250,0.819,
OHARA L-LAH86,0.302,0.000006100000000,4900,0.838,Elastic Modulus: 1.088E+011; Shear Modulus: 4.18E+010
OHARA L-LAH87,0.301,0.000007100000000,4340,0.92,Elastic Modulus: 1.147E+011; Shear Modulus: 4.41E+010
OHARA L-LAH90,0.304,0.000006300000000,4650,0.839,Elastic Modulus: 1.148E+011; Shear Modulus: 4.4E+010
OHARA L-LAH91,0.301,0.000005700000000,4290,0.841,Elastic Modulus: 1.144E+011; Shear Modulus: 4.39E+010
OHARA L-LAL12,0.28,0.000007600000000,3480,0.925,Elastic Modulus: 1.096E+011; Shear Modulus: 4.28E+010
OHARA L-LAL13,0.285,0.000007600000000,3690,0.887,Elastic Modulus: 1.078E+011; Shear Modulus: 4.19E+010
OHARA L-LAM60,0.289,0.000007400000000,4200,0.876,Elastic Modulus: 1.147E+011; Shear Modulus: 4.45E+010
OHARA L-LAM69,0.273,0.000008600000000,3240,1.114,Elastic Modulus: 1.133E+011; Shear Modulus: 4.45E+010
OHARA L-LAM72,0.283,0.000006600000000,3890,,Elastic Modulus: 1.182E+011; Shear Modulus: 4.6E+010
OHARA L-NBH54,0.205,0.000008100000000,3640,1.184,Elastic Modulus: 1.093E+011; Shear Modulus: 4.54E+010
OHARA L-PHL1,0.28,0.000010500000000,3180,0.627,Elastic Modulus: 6.89E+010; Shear Modulus: 2.3E+010
OHARA L-PHL2,0.272,0.000009900000000,3030,0.683,Elastic Modulus: 6.45E+010; Shear Modulus: 2.53E+010
OHARA L-TIH53,,0.000007800000000,3340,1.044,
OHARA L-TIM28,0.254,0.000010100000000,2880,1.02,Elastic Modulus: 8.45E+010; Shear Modulus: 3.37E+010
OHARA S-BAH10,0.273,0.000006800000000,3480,0.902,Elastic Modulus: 9.62E+010; Shear Modulus: 3.78E+010
OHARA S-BAH11,0.274,0.000006900000000,3590,0.858,Elastic Modulus: 9.29E+010; Shear Modulus: 3.65E+010
OHARA S-BAH27,0.272,0.000006400000000,3670,0.869,Elastic Modulus: 9.36E+010; Shear Modulus: 3.68E+010
OHARA S-BAH28,0.213,0.000006600000000,3670,0.889,Elastic Modulus: 9.11E+010; Shear Modulus: 3.75E+010
OHARA S-BAH32,0.26,0.000006900000000,3260,0.921,Elastic Modulus: 9.04E+010; Shear Modulus: 3.59E+010
OHARA S-BAL2,0.245,0.000009100000000,2890,0.901,Elastic Modulus: 7.27E+010; Shear Modulus: 2.92E+010
OHARA S-BAL3,0.249,0.000009500000000,2980,0.864,Elastic Modulus: 7.19E+010; Shear Modulus: 2.88E+010
OHARA S-BAL11,0.237,0.000006600000000,3020,0.974,Elastic Modulus: 8.19E+010; Shear Modulus: 3.31E+010
OHARA S-BAL12,0.161,0.000008600000000,2750,0.982,Elastic Modulus: 7.1E+010; Shear Modulus: 3.06E+010
OHARA S-BAL14,0.24,0.000008000000000,2890,0.967,Elastic Modulus: 8.11E+010; Shear Modulus: 3.27E+010
OHARA S-BAL35,0.25,0.000005700000000,3310,0.915,Elastic Modulus: 8.32E+010; Shear Modulus: 3.33E+010
OHARA S-BAL41,0.242,0.000007500000000,2780,1.043,Elastic Modulus: 8.9E+010; Shear Modulus: 3.58E+010
OHARA S-BAL42,0.246,0.000006600000000,3190,0.974,Elastic Modulus: 8.47E+010; Shear Modulus: 3.4E+010
OHARA S-BAM3,0.242,0.000008500000000,2750,0.965,Elastic Modulus: 7.71E+010; Shear Modulus: 3.11E+010
OHARA S-BAM4,0.244,0.000008400000000,2910,0.931,Elastic Modulus: 7.62E+010; Shear Modulus: 3.06E+010
OHARA S-BAM12,0.253,0.000007600000000,3180,0.954,Elastic Modulus: 9.04E+010; Shear Modulus: 3.61E+010
OHARA S-BSL7,0.205,0.000007200000000,2520,1.13,Elastic Modulus: 8E+010; Shear Modulus: 3.32E+010
OHARA S-BSM2,0.264,0.000006500000000,3530,0.802,Elastic Modulus: 7.8E+010; Shear Modulus: 3.09E+010
OHARA S-BSM4,0.265,0.000006700000000,3570,0.836,Elastic Modulus: 8.16E+010; Shear Modulus: 3.22E+010
OHARA S-BSM9,0.264,0.000006400000000,3220,0.916,Elastic Modulus: 8.65E+010; Shear Modulus: 3.42E+010
OHARA S-BSM10,0.266,0.000006500000000,3600,0.822,Elastic Modulus: 8.35E+010; Shear Modulus: 3.3E+010
OHARA S-BSM14,0.257,0.000006200000000,3430,0.891,Elastic Modulus: 8.49E+010; Shear Modulus: 3.38E+010
OHARA S-BSM15,0.265,0.000006500000000,3600,0.845,Elastic Modulus: 8.54E+010; Shear Modulus: 3.38E+010
OHARA S-BSM16,0.262,0.000006700000000,3590,0.835,Elastic Modulus: 8.78E+010; Shear Modulus: 3.48E+010
OHARA S-BSM18,0.268,0.000007000000000,3690,0.815,Elastic Modulus: 8.85E+010; Shear Modulus: 3.49E+010
OHARA S-BSM22,0.265,0.000006600000000,3240,0.916,Elastic Modulus: 8.74E+010; Shear Modulus: 3.45E+010
OHARA S-BSM25,0.272,6.8e-006,3500,0.891,Elastic Modulus: 9.51E+010; Shear Modulus: 3.74E+010
OHARA S-BSM28,0.258,0.000008400000000,3230,0.878,Elastic Modulus: 8.53E+010; Shear Modulus: 3.39E+010
OHARA S-BSM71,0.273,0.000007100000000,3740,0.773,Elastic Modulus: 8.62E+010; Shear Modulus: 3.39E+010
OHARA S-BSM81,0.271,0.000005800000000,3060,1.001,Elastic Modulus: 1.057E+011; Shear Modulus: 4.16E+010
OHARA S-FPL51,0.299,0.000013100000000,3620,0.78,Elastic Modulus: 7.27E+010; Shear Modulus: 2.8E+010
OHARA S-FPL53,0.303,0.000014500000000,3620,0.857,Elastic Modulus: 6.91E+010; Shear Modulus: 2.65E+010
OHARA S-FPL55,0.302,0.000013600000000,3590,0.876,Elastic Modulus: 6.98E+010; Shear Modulus: 2.68E+010
OHARA S-FPM2,0.287,0.000011700000000,4170,0.624,Elastic Modulus: 7.57E+010; Shear Modulus: 2.94E+010
OHARA S-FPM3,0.291,0.000011500000000,3640,0.805,Elastic Modulus: 8.06E+010; Shear Modulus: 3.12E+010
OHARA S-FSL5,0.227,0.000009000000000,2460,1.007,Elastic Modulus: 6.23E+010; Shear Modulus: 2.54E+010
OHARA S-FTM16,0.238,0.000009000000000,2640,0.947,Elastic Modulus: 6.53E+010; Shear Modulus: 2.64E+010
OHARA S-LAH51,0.297,0.000005900000000,4400,0.826,Elastic Modulus: 1.129E+011; Shear Modulus: 4.35E+010
OHARA S-LAH52,0.297,0.000006000000000,4410,0.828,Elastic Modulus: 1.119E+011; Shear Modulus: 4.31E+010
OHARA S-LAH53,0.299,0.000005900000000,4430,0.86,Elastic Modulus: 1.127E+011; Shear Modulus: 4.34E+010
OHARA S-LAH55V,0.253,0.000006200000000,4730,0.853,Elastic Modulus: 1.178E+011; Shear Modulus: 4.7E+010
OHARA S-LAH58,0.301,0.000006600000000,5520,0.827,Elastic Modulus: 1.268E+011; Shear Modulus: 4.87E+010
OHARA S-LAH59,0.298,0.000006300000000,5070,0.816,Elastic Modulus: 1.25E+011; Shear Modulus: 4.82E+010
OHARA S-LAH60,0.296,0.000005600000000,4430,0.872,Elastic Modulus: 1.248E+011; Shear Modulus: 4.81E+010
OHARA S-LAH63,0.295,0.000005800000000,4340,0.849,Elastic Modulus: 1.121E+011; Shear Modulus: 4.33E+010
OHARA S-LAH64,0.294,0.000006100000000,4300,0.856,Elastic Modulus: 1.224E+011; Shear Modulus: 4.37E+010
OHARA S-LAH65V,0.298,0.000006000000000,4720,0.841,Elastic Modulus: 1.22E+011; Shear Modulus: 4.7E+010
OHARA S-LAH66,0.291,0.000006200000000,4230,0.845,Elastic Modulus: 1.219E+011; Shear Modulus: 4.72E+010
OHARA S-LAH71,0.281,0.000007700000000,4360,0.874,Elastic Modulus: 1.1E+011; Shear Modulus: 4.29E+010
OHARA S-LAH79,0.297,0.000006000000000,5230,0.957,Elastic Modulus: 1.255E+011; Shear Modulus: 4.84E+010
